Property,LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,PoorCondition,GoodCondition,Price
4412,22700,91100,0.14,1504,100,128,2,1,0,4,4,1,91.8,0,0,1,157746
4413,29000,47700,0.18,1467,0,0,1,0,1,3,3,1,97.8,0,0,0,104409
4414,30900,64400,0.23,1248,0,0,1,0,0,3,3,0,107.2,0,1,0,53000
4415,26700,89200,0.16,1607,0,216,1,0,1,4,4,0,95.4,0,0,0,82353
4416,30600,86800,0.2,1272,312,0,2,0,0,4,3,1,95.8,0,0,0,118785
4417,30600,97900,0.2,1056,530,0,2,0,0,3,2,1,96.6,0,0,1,137790
4418,23900,133900,0.15,1692,0,0,1,1,1,4,2,1,93.6,0,0,1,150049
4419,16900,124200,0.15,1034,0,120,1,0,0,3,2,1,8.6,0,0,0,143967
4420,16900,126900,0.15,1034,0,120,1,0,0,3,2,1,8.7,0,0,0,123536
4421,16800,110500,0.1,1097,0,0,1,0,1,2,3,1,93.3,0,0,1,145500
4422,38100,134400,0.15,1496,0,0,1,0,1,3,4,1,91.3,0,0,1,138851
